id,title,type,works_type,status,stade_reception,canton,progress_percent,estimated_cost,total_contract_amount_paid,population,beneficiaires_totaux,cout_par_beneficiaire,launch_date,expected_end_date,work_completion_date,retard_jours,expected_duration,location_name
636,Réalisation d’un forage photovoltaïque pour eau de boisson dans le quartier Peuhl,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,22500000.0,14802637.0,2007.0,2007.0,11210.762331838565,2023-07-17,2023-10-16,2023-11-22,37.0,3.0,TERODA
639,Construction d'un centre communautaire avec charpente métallique + forage photovoltaïque à BOADE CENTRE,Forage Photovoltaïque (Centre communautaire),Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,13238514.0,1618.0,1073.0,18639.32898415657,2023-04-05,2023-07-05,2023-08-16,42.0,3.0,BOADE CENTRE
640,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,15610897.0,481.0,487.0,41067.76180698152,2023-04-03,2023-07-03,2023-08-09,37.0,3.0,GANGA 1
641,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,16825077.0,462.0,462.0,43290.04329004329,2023-04-03,2023-07-03,2023-08-09,37.0,3.0,GANGA 2
643,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,17513357.0,323.0,343.0,58309.03790087464,2023-03-22,2023-06-22,2023-08-04,43.0,3.0,KASSOU 2
646,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,18675158.0,519.0,519.0,38535.64547206166,2023-03-22,2023-06-22,2023-09-14,84.0,3.0,KORENZOAGA 2
647,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,17272439.0,517.0,573.0,34904.01396160558,2023-03-22,2023-06-22,2023-08-29,68.0,3.0,NAPOGO
648,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,17808357.0,484.0,484.0,41322.31404958678,2023-03-22,2023-06-22,2023-08-17,56.0,3.0,SANDOGO
649,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,16857277.0,1103.0,1103.0,18132.366273798732,2023-03-24,2023-03-24,2023-08-17,146.0,3.0,WOURI-WOURI
650,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,17926357.0,539.0,539.0,37105.751391465674,2023-03-22,2023-06-22,2023-08-17,56.0,3.0,ZAMISSI
651,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,16701573.0,1821.0,1478.0,13531.799729364006,2023-03-30,2023-06-30,2023-08-29,60.0,3.0,ZINTANGO
652,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,17926357.0,589.0,778.0,25706.94087403599,2023-03-22,2023-03-22,2023-08-18,149.0,3.0,BARGOUNDE
653,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,17808357.0,1792.0,1792.0,11160.714285714286,2023-03-22,2023-03-22,2023-10-17,209.0,3.0,BOUSSANGA 1
656,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception provisoire 100.0%,Reception provisoire,,100.0,20000000.0,17859025.0,1115.0,1115.0,17937.219730941702,2023-05-31,2023-03-16,2023-06-14,90.0,3.0,GOYAMBA 1
657,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,14517056.0,1115.0,1115.0,17937.219730941702,2023-03-30,2023-03-30,2023-08-18,141.0,3.0,GOYAMBA 2
658,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,13573056.0,528.0,528.0,37878.78787878788,2023-03-20,2023-04-03,2023-11-22,233.0,3.0,KALYADA
659,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,18340150.0,362.0,362.0,55248.61878453039,2023-03-22,2023-03-22,2023-11-02,225.0,3.0,KODAGO
661,Construction d'un Bâtiment scolaire de 3 classes avec bureau et magasin + 2 Blocs de Latrines +forage photovoltaïque à l'EPP KOMOULOGOU 1,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception provisoire 100.0%,Reception provisoire,,100.0,20000000.0,15309715.0,2452.0,2452.0,8156.606851549755,2025-03-22,2025-06-21,2025-06-18,-3.0,3.0,KOMOULOGOU 2
662,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,18340150.0,205.0,205.0,97560.9756097561,2023-03-22,2023-03-22,2023-11-02,225.0,3.0,KOWONGO
663,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,17859025.0,1115.0,1115.0,17937.219730941702,2023-03-16,2023-03-16,2023-04-18,33.0,3.0,KPALBIAGA 1
664,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,19767189.0,1306.0,1333.0,15003.750937734434,2023-03-30,2023-03-30,2023-08-22,145.0,3.0,KPALBIAGA 2
667,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,16610058.0,735.0,735.0,27210.884353741498,2023-03-22,2023-03-24,2023-08-31,160.0,3.0,NONLEDE
668,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception provisoire 100.0%,Reception provisoire,,100.0,20000000.0,17926357.0,2942.0,2940.0,6802.721088435374,2023-03-22,2023-03-22,2023-08-22,153.0,3.0,PIZOSGO 1
671,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,17059883.0,2665.0,2665.0,7504.6904315197,2023-04-05,2023-03-22,2023-08-31,162.0,3.0,POGOYOGO 2
673,Construction deux blocs de latrines communautaires + forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,12335470.0,2452.0,11452.0,1746.4198393293748,2024-01-28,2024-04-28,2024-04-03,-25.0,3.0,SIAMBIN
676,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,17562917.0,10152.0,1615.0,12383.90092879257,2023-03-22,2023-06-21,2023-08-23,63.0,3.0,SAYODE
677,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,17926357.0,1682.0,1682.0,11890.606420927468,2023-03-22,2023-03-22,2023-08-23,154.0,3.0,TIMANGA (CINKASSE)
679,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,18340150.0,926.0,926.0,21598.272138228942,2023-03-22,2023-04-03,2023-12-31,272.0,3.0,WOMNOGO
680,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,13788286.0,854.0,854.0,23419.2037470726,2023-03-22,2023-03-30,2023-05-19,50.0,3.0,YIEGOU (CINKASSE)
682,Réalisation d'un forage photovoltaïque maraicher,Forages photovoltaïques pour les activités maraîchères,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,17859025.0,650.0,650.0,30769.23076923077,2023-03-16,2023-05-31,2023-04-18,-43.0,3.0,BINGOULA
683,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques pour les activités maraîchères,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,30000000.0,14278000.0,750.0,750.0,40000.0,2023-11-02,2023-11-22,2024-02-01,71.0,3.0,GANGA
685,Construction d'un centre communautaire avec charpente métallique + forage photovoltaïque à GNOAGA CENTRE,Forage Photovoltaïque (Centre communautaire),Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,18275374.0,593.0,593.0,33726.81281618887,2023-03-22,2023-06-22,2023-08-30,69.0,3.0,GNOAGA CENTRE
688,Réalisation d'un forage photovoltaïque maraicher,Forages photovoltaïques pour les activités maraîchères,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,14061476.0,271.0,271.0,73800.73800738007,2023-01-30,2023-01-30,2023-03-09,38.0,3.0,YOUMAKOU
691,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,21204016.0,460.0,460.0,43478.260869565216,2023-01-30,2023-01-30,2023-03-09,38.0,3.0,KOKNOGO
693,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,17272439.0,900.0,554.0,36101.08303249098,2023-03-22,2023-06-22,2023-09-14,84.0,3.0,KODINZOAGA
695,Construction d'un centre communautaire avec charpente métallique + forage photovoltaïque à KOULTAMSÉ,Forage Photovoltaïque (Centre communautaire),Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,17808357.0,654.0,506.0,39525.691699604744,2023-03-22,2023-06-22,2023-08-04,43.0,3.0,KOULTAMSÉ
696,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,14061476.0,543.0,643.0,31104.19906687403,2023-01-30,2023-01-30,2023-03-09,38.0,3.0,LANGANDE
697,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,16857277.0,329.0,150.0,133333.33333333334,2023-04-05,2023-07-05,2023-11-17,135.0,3.0,SINOGO
698,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,18275374.0,341.0,341.0,58651.026392961874,2023-03-22,2023-06-22,2023-08-16,55.0,3.0,TENNOGO
699,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,16625634.0,456.0,228.0,87719.29824561403,2023-04-05,2023-07-05,2023-11-17,135.0,3.0,ZOUBEKO
703,Réalisation d'un forage photovoltaïque  pour maraicher,Forages photovoltaïques pour les activités maraîchères,Construction,Réception définitive 100.0%,Reception definitive,,60.0,20000000.0,14445418.0,1254.0,1508.0,13262.59946949602,2023-07-04,2023-10-02,2024-12-02,427.0,3.0,FONWORGOU
706,Construction d'un centre communautaire avec charpente métallique + dallot ,Forage Photovoltaïque (Centre communautaire),Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,15334383.0,1894.0,1994.0,10030.090270812438,2023-06-26,2023-09-24,2024-07-11,291.0,3.0,NADJOUNDI CENTRE
712,Construction d'un bâtiment scolaire de trois classes avec bureau et magasin à l'EPP Timangue,Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,15765083.0,1586.0,1626.0,12300.123001230013,2023-06-26,2023-09-24,2024-11-28,431.0,3.0,TIMANGUE (NADJOUNDI)
717,Construction d'un bâtiment scolaire de trois classes avec bureau et magasin et deux blocs de latrines à l’EPP + forage photovoltaïque,Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,0.0,20000000.0,12329570.0,520.0,520.0,38461.53846153846,2024-01-18,2024-04-11,2024-04-03,-8.0,3.0,NAMOUDJOATE 2
720,Construction d'un centre communautaire avec charpente métallique + forage photovoltaïque à PIZOSKO,Forage Photovoltaïque (Centre communautaire),Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,12351990.0,585.0,575.0,34782.608695652176,2024-01-16,2024-04-11,2024-04-03,-8.0,3.0,PIZOSKO
722,Réalisation d'un forage photovoltaïque pour maraîchage,Forages photovoltaïques pour les activités maraîchères,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,12329570.0,372.0,372.0,53763.44086021505,2024-01-19,2024-04-10,2024-04-03,-7.0,3.0,WAMBAGOU
723,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,13679136.0,995.0,995.0,20100.502512562813,2023-03-10,2023-06-24,2023-11-23,152.0,3.0,DATOULONTE (TIMBOU)
725,Construction d'un Bâtiment scolaire de 3 classes avec bureau et magasin + 2 Blocs de Latrines à l'EPP + forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception provisoire 100.0%,Reception provisoire,,0.0,20000000.0,13896199.0,455.0,455.0,43956.043956043955,2025-11-12,2026-02-12,2026-02-17,5.0,3.0,DJALOTOUGOU
727,Réalisation d'un forage photovoltaïque pour eau de boisson,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,18355706.0,941.0,941.0,21253.985122210415,2023-03-22,2023-06-22,2023-08-16,55.0,3.0,KALAGOU (TIMBOU)
728,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,19699425.0,480.0,480.0,41666.666666666664,2023-03-22,2023-06-22,2023-09-14,84.0,3.0,KALKANTINDE
730,"Construction et équipement d'un Bâtiment scolaire de 4 classes avec bureau et magasin, charpente métallique + 2 Blocs de latrines et Forage photovoltaïque  au CEG",Forages photovoltaïques dans les établissements scolaires,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,18489514.0,461.0,354.0,56497.17514124294,2023-04-03,2023-07-03,2023-08-22,50.0,3.0,KPALMATONGUE CENTRE
734,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,17536957.0,2000.0,2000.0,10000.0,2023-03-22,2023-06-22,2023-12-27,188.0,3.0,NANLONGUE 1
735,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,18123535.0,690.0,690.0,28985.507246376812,2023-03-22,2023-06-22,2023-08-17,56.0,3.0,NAMBUITITE TIMBOU
737,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,17272439.0,385.0,385.0,51948.05194805195,2023-03-22,2023-06-22,2023-08-07,46.0,3.0,NASSABLE 1
738,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,17272439.0,1068.0,1068.0,18726.591760299627,2023-03-22,2023-06-22,2023-08-07,46.0,3.0,PIZOSKE
739,Construction d'un Bâtiment scolaire de 3 classes avec bureau et magasin + 2 Blocs de Latrines +forage à l'EPP,Forages photovoltaïques dans les établissements scolaires,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,17272439.0,591.0,591.0,33840.9475465313,2023-03-22,2023-06-22,2023-08-07,46.0,3.0,SAFOBE 1
743,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,17336357.0,1361.0,1361.0,14695.077149155033,2023-04-06,2023-07-06,2023-08-23,48.0,3.0,SOUKOUDOUME FOFANA
746,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,17702157.0,689.0,609.0,32840.72249589491,2023-03-22,2023-06-22,2023-08-24,63.0,3.0,TAMONDJOARE 1 (TIMBOU)
747,Réalisation d'un forage photovoltaïque pour eau de boisson,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,15844577.0,778.0,257.0,77821.01167315175,2023-06-27,2023-06-22,2023-12-27,188.0,3.0,TCHIMBIANGBONGUE
748,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,18275624.0,5.0,5.0,4000000.0,2023-03-16,2023-03-16,2023-05-19,64.0,3.0,TIMBOU CENTRE
749,Réalisation d'un forage photovoltaïque,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,18487817.0,872.0,872.0,22935.77981651376,2023-03-16,2023-03-16,2023-05-19,64.0,3.0,YIEGOU (TIMBOU)
750,Réalisation d'un forage photovoltaïque ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,14418514.0,626.0,626.0,31948.88178913738,2023-03-30,2023-06-30,2023-08-17,48.0,3.0,YOABOUANI
754,Construction d'un bâtiment scolaire de trois classes + bureau et magasin + forage photovoltaïque à EPP Djabdjoare 2 ,Forages photovoltaïques dans les établissements scolaires,Construction,Réception provisoire 100.0%,Reception provisoire,,0.0,20000000.0,20176702.0,1148.0,1148.0,17421.602787456446,2025-03-07,2025-06-07,2025-08-11,65.0,3.0,DJABDJOARE 2
756,Réalisation d’un forage photovoltaïque pour maraîchage,Forages photovoltaïques pour les activités maraîchères,Construction,Réception provisoire 100.0%,Reception provisoire,,100.0,20000000.0,23758085.0,994.0,994.0,20120.72434607646,2025-03-06,2025-06-06,2025-08-11,66.0,3.0,GNANLE
762,Construction d'un bâtiment scolaire de trois classes + bureau et magasin + forage photovoltaïque à EPP Tomole,Forages photovoltaïques dans les établissements scolaires,Construction,Réception provisoire 100.0%,Reception provisoire,,0.0,20000000.0,20176702.0,411.0,411.0,48661.800486618005,2025-03-20,2025-06-07,2025-08-14,68.0,3.0,TOMONLE
