lon,lat,canton,type,works_type,status,stade_reception,progress_percent,estimated_cost,population,beneficiaires_totaux,cout_par_beneficiaire,launch_date,expected_end_date,work_completion_date,retard_jours,location_name,FRI_canton,region,expose_risque_eleve
1.320824,9.744758,,Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,1845.0,1845.0,10840.108401084011,2023-12-23,2024-03-22,2024-03-15,-7.0,WAZE,0.08275879046077705,Kara,False
1.35165,9.724313,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20250000.0,939.0,939.0,21565.495207667733,2023-07-17,2025-10-16,2023-12-31,-655.0,KADJANGA,0.08275879046077705,Kara,False
1.357624,9.671325,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,22500000.0,2007.0,2007.0,11210.762331838565,2023-07-17,2023-10-16,2023-11-22,37.0,TERODA,0.06312776105114662,Kara,False
-0.081247,11.137485,,Forage Photovoltaïque (Centre communautaire),Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,1618.0,1073.0,18639.32898415657,2023-04-05,2023-07-05,2023-08-16,42.0,BOADE CENTRE,,,False
-0.081831,11.10989,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,517.0,573.0,34904.01396160558,2023-03-22,2023-06-22,2023-08-29,68.0,NAPOGO,0.19562829290221415,Savanes,True
-0.067271,11.099809,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,484.0,484.0,41322.31404958678,2023-03-22,2023-06-22,2023-08-17,56.0,SANDOGO,0.054625803241745804,Savanes,False
-0.03386,11.116633,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,1103.0,1103.0,18132.366273798732,2023-03-24,2023-03-24,2023-08-17,146.0,WOURI-WOURI,0.19562829290221415,Savanes,True
-0.066757,11.089657,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,100.0,20000000.0,539.0,539.0,37105.751391465674,2023-03-22,2023-06-22,2023-08-17,56.0,ZAMISSI,0.054625803241745804,Savanes,False
-0.08592,11.125808,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,1821.0,1478.0,13531.799729364006,2023-03-30,2023-06-30,2023-08-29,60.0,ZINTANGO,0.19562829290221415,Savanes,True
0.015431,11.081848,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,100.0,20000000.0,589.0,778.0,25706.94087403599,2023-03-22,2023-03-22,2023-08-18,149.0,BARGOUNDE,0.19562829290221415,Savanes,True
0.042313,11.10398,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,362.0,362.0,55248.61878453039,2023-03-22,2023-03-22,2023-11-02,225.0,KODAGO,0.19562829290221415,Savanes,True
0.019593,11.07053,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,100.0,20000000.0,10152.0,1615.0,12383.90092879257,2023-03-22,2023-06-21,2023-08-23,63.0,SAYODE,0.19562829290221415,Savanes,True
0.031963,11.083669,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,100.0,20000000.0,1682.0,1682.0,11890.606420927468,2023-03-22,2023-03-22,2023-08-23,154.0,TIMANGA (CINKASSE),0.19562829290221415,Savanes,True
0.036734,11.098188,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,854.0,854.0,23419.2037470726,2023-03-22,2023-03-30,2023-05-19,50.0,YIEGOU (CINKASSE),0.19562829290221415,Savanes,True
-0.081247,11.1176724,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception définitive 100.0%,Reception definitive,100.0,20000000.0,650.0,650.0,30769.23076923077,2023-03-16,2023-05-31,2023-04-18,-43.0,BINGOULA,0.19562829290221415,Savanes,True
-0.103617,11.105457,,Forage Photovoltaïque (Centre communautaire),Construction,Réception définitive 100.0%,Reception definitive,100.0,20000000.0,593.0,593.0,33726.81281618887,2023-03-22,2023-06-22,2023-08-30,69.0,GNOAGA CENTRE,0.19562829290221415,Savanes,True
-0.10443,11.099301,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception définitive 100.0%,Reception definitive,100.0,20000000.0,271.0,271.0,73800.73800738007,2023-01-30,2023-01-30,2023-03-09,38.0,YOUMAKOU,0.054625803241745804,Savanes,False
-0.113093,11.139244,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,100.0,20000000.0,900.0,554.0,36101.08303249098,2023-03-22,2023-06-22,2023-09-14,84.0,KODINZOAGA,,,False
-0.110754,11.125092,,Forage Photovoltaïque (Centre communautaire),Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,654.0,506.0,39525.691699604744,2023-03-22,2023-06-22,2023-08-04,43.0,KOULTAMSÉ,0.06152353732469032,Savanes,False
-0.110754,11.125092,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,100.0,20000000.0,329.0,150.0,133333.33333333334,2023-04-05,2023-07-05,2023-11-17,135.0,SINOGO,0.06152353732469032,Savanes,False
-0.112391,11.106438,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,100.0,20000000.0,341.0,341.0,58651.026392961874,2023-03-22,2023-06-22,2023-08-16,55.0,TENNOGO,0.06152353732469032,Savanes,False
-0.127504,11.110269,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception définitive 100.0%,Reception definitive,100.0,20000000.0,456.0,228.0,87719.29824561403,2023-04-05,2023-07-05,2023-11-17,135.0,ZOUBEKO,0.06152353732469032,Savanes,False
0.141467,10.989956,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,995.0,995.0,20100.502512562813,2023-03-10,2023-06-24,2023-11-23,152.0,DATOULONTE (TIMBOU),0.08334983585823232,Savanes,False
0.070502,11.033372,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,690.0,690.0,28985.507246376812,2023-03-22,2023-06-22,2023-08-17,56.0,NAMBUITITE TIMBOU,0.07192656944218638,Savanes,False
0.669152,10.884821,,Forages photovoltaïques dans les établissements scolaires,Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,411.0,411.0,48661.800486618005,2025-03-20,2025-06-07,2025-08-14,68.0,TOMONLE,0.10923738545553606,Savanes,False
0.817863,10.846096,,Forage Photovoltaïque (Centre communautaire),Construction,Réception définitive 100.0%,Reception definitive,0.0,20000000.0,6700.0,6700.0,2985.0746268656717,2024-01-23,,2024-06-19,,MANDOURI CENTRE,0.19156734783243143,Savanes,True
0.4536523,10.0454774,,Forage Photovoltaïque (Centre communautaire),Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,942.0,942.0,21231.422505307855,2024-06-06,2024-08-06,2024-09-24,49.0,NALI ANGOH,0.0786501700300937,Savanes,False
0.7693367,10.48327,,Forages photovoltaïques pour les activités maraîchères,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,628.0,628.0,31847.133757961783,2024-06-05,2025-01-31,2024-12-30,-32.0,KARKOU,0.16303100343295712,Savanes,True
0.7485683,10.4859533,,Forages photovoltaïques pour les activités maraîchères,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,2168.0,2168.0,9225.09225092251,2024-05-30,2025-01-31,2024-12-30,-32.0,IBASSANDJA,0.16303100343295712,Savanes,True
0.091253,10.771387,,Forages photovoltaïques dans les établissements scolaires,Construction,Réception définitive 100.0%,Reception definitive,0.0,20000000.0,600.0,607.0,32948.929159802305,2024-05-31,2024-08-01,2024-08-26,25.0,SIBIOGUE,0.08680970565627284,Savanes,False
-0.035277,10.76495,,Forages photovoltaïques dans les établissements scolaires,Construction,Réception définitive 100.0%,Reception definitive,0.0,20000000.0,1191.0,939.0,21299.254526091587,2024-05-31,2024-08-01,2024-09-23,53.0,KPINKPARBAGOU 1,0.07181330483461468,Savanes,False
0.052255,10.77684,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,1300.0,1300.0,15384.615384615385,2024-05-20,2024-08-01,2024-10-10,70.0,KOULMATIK-MIRE,0.08064929400306683,Savanes,False
-0.0154217,10.7588133,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception définitive 100.0%,Reception definitive,0.0,20000000.0,259.0,260.0,76923.07692307692,2024-05-25,2024-08-25,2024-08-26,1.0,KPINKPARBAGOU 2,0.07181330483461468,Savanes,False
0.127192,10.780718,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception définitive 100.0%,Reception definitive,0.0,20000000.0,926.0,926.0,21598.272138228942,2024-05-20,2024-08-01,2024-11-01,92.0,PIABRIBAGOU,0.08680970565627284,Savanes,False
0.4571656,10.3384158,,Forages photovoltaïques dans les établissements scolaires,Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,1338.0,1338.0,14947.683109118087,2024-06-03,2024-09-02,2024-09-25,23.0,MAGNA,0.1485936522422084,Savanes,True
0.4777628,10.3531358,,Forages photovoltaïques dans les établissements scolaires,Construction,Réception technique 100.0%,Reception technique,0.0,20000000.0,3678.0,3678.0,5437.737901033171,2024-06-03,2024-09-02,2024-10-02,30.0,FOMBORO,0.1485936522422084,Savanes,True
0.4729033,10.3392083,,Forages photovoltaïques dans les établissements scolaires,Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,3221.0,3215.0,6220.839813374806,2024-06-13,,2024-10-03,,DOUANE-EST,0.1485936522422084,Savanes,True
0.4783607,10.3644199,,Forages photovoltaïques dans les établissements scolaires,Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,2600.0,3600.0,5555.555555555556,2024-06-03,2024-09-02,2024-11-12,71.0,DJABOU,0.1485936522422084,Savanes,True
0.43644,10.32394,,Forage Photovoltaïque (Salle de réunion),Construction,Réception technique 100.0%,Reception technique,0.0,20000000.0,666.0,690.0,28985.507246376812,2024-05-17,,2025-01-17,,GNANGBANDI (MANGO),0.1485936522422084,Savanes,True
0.13158,10.966555,,Forages photovoltaïques dans les établissements scolaires,Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,1673.0,1673.0,11954.572624028691,2024-05-20,2024-08-01,2024-10-22,82.0,GNABADJOUANI 2,0.1395996130609366,Savanes,True
0.094391,10.938128,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception définitive 100.0%,Reception definitive,0.0,20000000.0,1497.0,1497.0,13360.05344021376,2024-06-24,2024-08-01,2024-08-18,17.0,YOBRE 1,0.1395996130609366,Savanes,True
0.5215,10.01441,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,133.0,133.0,150375.93984962406,2024-06-09,2024-09-09,2025-04-18,221.0,DJIRIDJO,0.12152908397245658,Savanes,True
0.704147,9.844028,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,235.0,235.0,85106.3829787234,2024-05-21,2024-08-01,2024-10-03,63.0,SAPOLI,0.11413936699690165,Kara,True
0.5972867,9.946635,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception définitive 100.0%,Reception definitive,0.0,20000000.0,582.0,551.0,36297.64065335753,2024-05-21,2024-08-21,2024-09-04,14.0,LENIDO,0.12152908397245658,Savanes,True
0.063415,10.853297,,Forages photovoltaïques dans les établissements scolaires,Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,469.0,172.0,116279.06976744186,2025-10-10,2026-01-10,2026-02-15,36.0,POAMONGUE,0.08971112259392547,Savanes,False
0.025296,10.798171,,Forage Photovoltaïque (Centre communautaire),Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,3722.0,3722.0,5373.455131649651,2024-11-17,2025-03-19,2025-04-01,13.0,LOTOGOU CENTRE,0.08064929400306683,Savanes,False
0.0908567,10.6417033,,Forages photovoltaïques pour les activités maraîchères,Construction,Achevé 100.0%,Acheve,0.0,20000000.0,161.0,191.0,104712.04188481676,2025-10-27,2026-01-27,2026-03-17,49.0,MAGNA BAS,0.06699760876956708,Savanes,False
0.0246017,10.9422383,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,1106.0,1106.0,18083.182640144667,2025-05-20,2025-10-20,2025-09-21,-29.0,BASSOUDOUGOU,0.1395996130609366,Savanes,True
0.068247,10.933573,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,894.0,894.0,22371.364653243847,2025-04-03,2025-09-03,2025-09-21,18.0,NAKORGOU,0.1395996130609366,Savanes,True
0.061661,10.893852,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,1312.0,1312.0,15243.90243902439,2025-05-20,2025-09-19,2025-12-16,88.0,KARIATA,0.1395996130609366,Savanes,True
0.11905,10.934593,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,1096.0,1096.0,18248.17518248175,2025-04-14,2025-07-14,2025-09-15,63.0,TCHANDANA,0.1395996130609366,Savanes,True
0.2093732,10.4833243,,Forages photovoltaïques dans les établissements scolaires,Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,1749.0,1649.0,12128.56276531231,2025-03-22,2025-06-21,2025-07-11,20.0,KEREKETE,0.08099052721406387,Savanes,False
0.32996,10.5348583,,Forage Photovoltaïque (Centre communautaire),Construction,Réception provisoire 100.0%,Reception provisoire,0.0,20000000.0,519.0,519.0,38535.64547206166,2025-01-20,2025-04-20,2025-09-08,141.0,KPANDJINI,0.1535981720884317,Savanes,True
0.7220782,10.3179254,,Forages photovoltaïques dans les établissements scolaires,Construction,Réception définitive 100.0%,Reception definitive,0.0,20000000.0,1987.0,1357.0,14738.393515106853,2024-10-17,2025-01-17,2025-01-28,11.0,DJE-DJABOU,0.09015667302148637,Savanes,False
0.7433078,10.2540124,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception provisoire 100.0%,Reception provisoire,100.0,20000000.0,564.0,564.0,35460.99290780142,2025-05-21,2025-08-21,2025-08-28,7.0,GBATENI,0.09015667302148637,Savanes,False
0.8183641,10.3497677,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception provisoire 100.0%,Reception provisoire,100.0,20000000.0,450.0,450.0,44444.444444444445,,,2026-04-01,,NAKPATI,0.09015667302148637,Savanes,False
0.146811,10.936937,NAMARE,Forages photovoltaïques dans les marchés pour eau de boisson,Construction,Achevé 100.0%,Acheve,,14000000.0,,,,2025-12-05,2026-03-05,2025-12-31,-64.0,TCHANKOUNKOUNKONG,0.08035385820283117,Savanes,False
0.040576,10.858083,TAMI,Forages photovoltaïques dans les marchés pour eau de boisson,Construction,En cours,En cours,,14000000.0,,,,2026-01-12,2026-04-12,2025-06-28,-288.0,TAMI-CENTRE,0.08971112259392547,Savanes,False
-0.013278,10.804232,WARKAMBOU,Forages photovoltaïques dans les marchés pour eau de boisson,Construction,Achevé 100.0%,Acheve,,14000000.0,,,,,,2025-12-31,,WARKAMBOU CENTRE 1,0.06753767007001664,Savanes,False
0.64414,10.935298,,Forages photovoltaïques pour les activités maraîchères,Construction,Réception provisoire 100.0%,Reception provisoire,100.0,20000000.0,2891.0,2891.0,6918.021445866482,2025-11-12,2026-02-12,2026-04-22,69.0,TAMBATE,0.10923738545553606,Savanes,False
0.7864350000000001,10.968934999999998,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Achevé 100.0%,Acheve,100.0,25000000.0,1382.0,1382.0,18089.72503617945,2025-07-28,2025-10-28,2026-02-15,110.0,SANLOAGA,0.10923738545553606,Savanes,False
0.0393583,10.6047967,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception provisoire 100.0%,Reception provisoire,,25000000.0,191.0,191.0,130890.05235602094,2025-10-27,2026-01-27,2026-02-02,6.0,PATKONE TOMONG,0.04103111557416093,Savanes,False
0.031187,10.8657,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception provisoire 100.0%,Reception provisoire,,30000000.0,510.0,540.0,55555.555555555555,2025-11-17,2026-02-17,2025-12-11,-68.0,NATCHARE,0.08971112259392547,Savanes,False
1.575045,8.746372,KABOLI,Forages photovoltaïques dans les marchés pour eau de boisson,Construction,Réception provisoire 100.0%,Reception provisoire,,20000000.0,,,,2025-08-11,2025-12-11,2026-03-13,92.0,KABOLI,0.09316663475903039,Centrale,False
0.029553,11.093908,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,409.0,429.0,46620.04662004662,2025-12-29,2026-03-29,2026-04-02,4.0,ZOLALE,0.19562829290221415,Savanes,True
0.729873,10.165172,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception technique 100.0%,Reception technique,100.0,20000000.0,3050.0,3324.0,6016.847172081829,2026-01-26,2026-04-26,2026-05-15,19.0,NASSIKOU,0.08401723923531405,Savanes,False
0.612965,10.178085,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception technique 100.0%,Reception technique,100.0,20000000.0,599.0,599.0,33388.9816360601,2026-01-13,2026-04-13,2026-05-14,31.0,TIEPAH,0.08401723923531405,Savanes,False
0.578949,10.263224,,Forages photovoltaïques dans les établissements scolaires,Construction,Réception technique 100.0%,Reception technique,,20000000.0,,,,2026-01-26,2026-05-26,2026-03-24,-63.0,BAOULE,0.0745028629053183,Savanes,False
